ID,Produto,Grupo,Risk Indicator,Rank
ESC1204,Escavadeira,Demais,0.6825923765806139,474.0
ESC1205,Escavadeira,Demais,0.6879872150473237,438.0
ESC1206,Escavadeira,Demais,0.6066282243129283,1128.0
ESC1206,Escavadeira,RT,0.6066282243129283,1128.0
ESC1207,Escavadeira,Demais,0.6464798529746539,704.0
ESC1208,Escavadeira,Demais,0.6432033277963949,714.0
ESC1209,Escavadeira,Demais,0.7614235187823508,134.0
ESC121,Escavadeira,Demais,0.5901717901590415,1582.0
ESC1210,Escavadeira,Demais,0.816804275303786,42.0
ESC1211,Escavadeira,Demais,0.7830494719046296,98.0
ESC1212,Escavadeira,Demais,0.8057978428253276,54.0
ESC1213,Escavadeira,Demais,0.736496345199847,211.0
ESC1214,Escavadeira,Demais,0.756714496707573,144.0
ESC1215,Escavadeira,Demais,0.7186137539239082,268.0
ESC1216,Escavadeira,Demais,0.6213887982421143,850.0
ESC1217,Escavadeira,Demais,0.7478818572812245,163.0
ESC1218,Escavadeira,Demais,0.7072259526085062,306.0
ESC1219,Escavadeira,Demais,0.5763866993454906,1812.0
ESC122,Escavadeira,Demais,0.5880884055807947,1635.0
ESC1220,Escavadeira,Demais,0.716924584901285,270.0
ESC1221,Escavadeira,Demais,0.6209561031192218,852.0
ESC1222,Escavadeira,Demais,0.6196693937893095,866.0
ESC1223,Escavadeira,Demais,0.637982013993374,737.0
ESC1224,Escavadeira,Demais,0.7063717200622576,309.0
ESC1225,Escavadeira,Demais,0.6207588132606027,853.0
ESC1226,Escavadeira,Demais,0.6622017112115873,563.0
ESC1227,Escavadeira,Demais,0.730084398426523,238.0
ESC1228,Escavadeira,Demais,0.7403462150349391,192.0
ESC1229,Escavadeira,Demais,0.7017700778665557,317.0
ESC123,Escavadeira,Demais,0.5093082758716435,3705.0
ESC1230,Escavadeira,Demais,0.5442867826895614,2911.0
ESC1231,Escavadeira,Demais,0.5445239399504519,2893.0
ESC1232,Escavadeira,Demais,0.534527800462183,3157.0
ESC1233,Escavadeira,Demais,0.5929189917217275,1492.0
ESC1234,Escavadeira,Demais,0.5566991998444202,2230.0
ESC1235,Escavadeira,Demais,0.5325993083817364,3252.0
ESC1236,Escavadeira,Demais,0.6074387079605448,1092.0
ESC1238,Escavadeira,Demais,0.6118428337191519,954.0
ESC1239,Escavadeira,Demais,0.6117798608076555,955.0
ESC124,Escavadeira,Demais,0.5929784459039318,1490.0
ESC1240,Escavadeira,Demais,0.6107975531593957,975.0
ESC1241,Escavadeira,Demais,0.5946645841911056,1426.0
ESC1242,Escavadeira,Demais,0.709652989673611,299.0
ESC1244,Escavadeira,Demais,0.7797266377952304,106.0
ESC1245,Escavadeira,Demais,0.5086495440629084,3742.0
ESC1246,Escavadeira,Demais,0.5562553918204431,2251.0
ESC1247,Escavadeira,Demais,0.5639037040339272,1953.0
ESC1248,Escavadeira,Demais,0.5330176161380207,3235.0
ESC1249,Escavadeira,Demais,0.6024089825388892,1215.0
ESC125,Escavadeira,Demais,0.5043098822143444,3971.0
ESC1250,Escavadeira,Demais,0.6129503112674035,937.0
ESC1251,Escavadeira,Demais,0.4942432780450069,4226.0
ESC1252,Escavadeira,Demais,0.6023629315853711,1219.0
ESC1253,Escavadeira,Demais,0.6813316780281072,489.0
ESC1254,Escavadeira,Demais,0.5878138285586074,1641.0
ESC1255,Escavadeira,Demais,0.5630559094729315,1984.0
ESC1256,Escavadeira,Demais,0.6940401812627772,396.0
ESC1257,Escavadeira,Demais,0.5970211568943367,1338.0
ESC1258,Escavadeira,Demais,0.5085203399581786,3765.0
ESC1259,Escavadeira,Demais,0.5469743348259615,2627.0
ESC126,Escavadeira,Demais,0.6060189694444984,1151.0
ESC1260,Escavadeira,Demais,0.5908798212962971,1561.0
ESC1261,Escavadeira,Demais,0.62530629833822,815.0
ESC1262,Escavadeira,Demais,0.5644893633642345,1933.0
ESC1264,Escavadeira,Demais,0.5656797357938146,1899.0
ESC1265,Escavadeira,Demais,0.5439481565051183,2931.0
ESC1266,Escavadeira,Demais,0.6116807562591999,958.0
ESC1267,Escavadeira,Demais,0.5265167629094276,3381.0
ESC1268,Escavadeira,Demais,0.5567583186079867,2226.0
ESC1269,Escavadeira,Demais,0.5797076433996968,1799.0
ESC127,Escavadeira,Demais,0.5091600605332587,3710.0
ESC1270,Escavadeira,Demais,0.5462440285480656,2744.0
ESC1271,Escavadeira,Demais,0.5479001088954876,2527.0
ESC1272,Escavadeira,Demais,0.5475888714142072,2560.0
ESC1273,Escavadeira,Demais,0.6019356332650259,1224.0
ESC1274,Escavadeira,Demais,0.5258989769431115,3397.0
ESC1275,Escavadeira,Demais,0.6923203828723066,417.0
ESC1276,Escavadeira,Demais,0.6091756415850331,1022.0
ESC1277,Escavadeira,Demais,0.6375291373037525,741.0
ESC1279,Escavadeira,Demais,0.5975400379074527,1321.0
ESC128,Escavadeira,Demais,0.5336085756475617,3199.0
ESC1280,Escavadeira,Demais,0.555426879118432,2298.0
ESC1281,Escavadeira,Demais,0.5876002209276505,1644.0
ESC1282,Escavadeira,Demais,0.6035867939617556,1190.0
ESC1283,Escavadeira,Demais,0.5564371012786453,2244.0
ESC1284,Escavadeira,Demais,0.6343867023683898,776.0
ESC1285,Escavadeira,Demais,0.533671246904754,3195.0
ESC1288,Escavadeira,Demais,0.5945662191239796,1432.0
ESC1289,Escavadeira,Demais,0.6033735768710748,1194.0
ESC129,Escavadeira,Demais,0.5056171430447831,3933.0
ESC1290,Escavadeira,Demais,0.5339435384016602,3180.0
ESC1291,Escavadeira,Demais,0.548028343892899,2518.0
